Samples,Val,Method
0,250.476190476191,CAMEO
100,252.165898617512,CAMEO
200,255.545314900154,CAMEO
300,266.359447004608,CAMEO
400,287.987711213518,CAMEO
500,316.712749615975,CAMEO
600,344.086021505376,CAMEO
700,365.376344086021,CAMEO
800,373.486943164362,CAMEO
900,375.797235023041,CAMEO
1000,376.445468509985,CAMEO
1100,377.783410138249,CAMEO
1200,378.556067588326,CAMEO
1300,386.666666666667,CAMEO
1400,394.101382488479,CAMEO
1500,401.536098310292,CAMEO
1600,405.591397849462,CAMEO
1700,406.943164362519,CAMEO
1800,407.619047619048,CAMEO
1900,407.956989247312,CAMEO
2000,408.970814132104,CAMEO
2100,409.984639016897,CAMEO
2200,416.405529953917,CAMEO
2300,422.826420890937,CAMEO
2400,427.557603686636,CAMEO
2500,432.964669738863,CAMEO
2600,434.31643625192,CAMEO
2700,435.668202764977,CAMEO
2800,437.357910906298,CAMEO
2900,437.357910906298,CAMEO
3000,438.371735791091,CAMEO
3100,439.385560675883,CAMEO
3200,441.751152073733,CAMEO
3300,443.10291858679,CAMEO
3400,444.792626728111,CAMEO
3500,446.144393241167,CAMEO
3600,446.144393241167,CAMEO
0,249.462365591398,CAMEO
100,250.814132104455,CAMEO
200,261.628264208909,CAMEO
300,273.456221198157,CAMEO
400,291.705069124424,CAMEO
500,313.671274961598,CAMEO
600,335.975422427035,CAMEO
700,351.520737327189,CAMEO
800,355.913978494624,CAMEO
900,357.265745007681,CAMEO
1000,360.645161290323,CAMEO
1100,365.714285714286,CAMEO
1200,367.066052227343,CAMEO
1300,368.417818740399,CAMEO
1400,370.10752688172,CAMEO
1500,371.797235023041,CAMEO
1600,373.486943164362,CAMEO
1700,374.162826420891,CAMEO
1800,376.866359447005,CAMEO
1900,379.907834101382,CAMEO
2000,386.328725038402,CAMEO
2100,389.032258064516,CAMEO
2200,393.087557603687,CAMEO
2300,400.522273425499,CAMEO
2400,408.970814132104,CAMEO
2500,416.743471582181,CAMEO
2600,426.543778801843,CAMEO
2700,436.344086021505,CAMEO
2800,441.751152073733,CAMEO
2900,444.116743471582,CAMEO
3000,447.15821812596,CAMEO
3100,448.509984639017,CAMEO
3200,448.847926267281,CAMEO
3300,449.185867895545,CAMEO
3400,450.199692780338,CAMEO
3500,450.537634408602,CAMEO
3600,450.537634408602,CAMEO
0,248.110599078341,JUMBO
100,259.600614439324,JUMBO
200,275.483870967742,JUMBO
300,294.408602150538,JUMBO
400,307.588325652842,JUMBO
500,324.823348694316,JUMBO
600,332.596006144393,JUMBO
700,345.099846390169,JUMBO
800,352.872503840246,JUMBO
900,361.321044546851,JUMBO
1000,371.797235023041,JUMBO
1100,377.542242703533,JUMBO
1200,389.032258064516,JUMBO
1300,395.115207373272,JUMBO
1400,406.605222734255,JUMBO
1500,417.41935483871,JUMBO
1600,425.529953917051,JUMBO
1700,434.654377880184,JUMBO
1800,441.075268817204,JUMBO
1900,448.172043010753,JUMBO
2000,450.875576036866,JUMBO
2100,452.227342549923,JUMBO
2200,454.254992319509,JUMBO
2300,456.282642089094,JUMBO
2400,457.972350230415,JUMBO
2500,459.662058371736,JUMBO
2600,459.662058371736,JUMBO
2700,459.662058371736,JUMBO
2800,459.662058371736,JUMBO
2900,460,JUMBO
3000,460,JUMBO
3100,460,JUMBO
3200,460,JUMBO
3300,460,JUMBO
3400,460,JUMBO
3500,460,JUMBO
3600,460,JUMBO
0,248.069124423963,JUMBO
100,256.559139784946,JUMBO
200,270.414746543779,JUMBO
300,280.552995391705,JUMBO
400,294.746543778802,JUMBO
500,306.236559139785,JUMBO
600,318.740399385561,JUMBO
700,333.609831029186,JUMBO
800,349.493087557604,JUMBO
900,364.700460829493,JUMBO
1000,376.52841781874,JUMBO
1100,380.921658986175,JUMBO
1200,380.583717357911,JUMBO
1300,382.94930875576,JUMBO
1400,387.980491551459,JUMBO
1500,392.749615975422,JUMBO
1600,397.818740399386,JUMBO
1700,402.549923195085,JUMBO
1800,406.605222734255,JUMBO
1900,412.688172043011,JUMBO
2000,419.784946236559,JUMBO
2100,428.571428571429,JUMBO
2200,436.006144393241,JUMBO
2300,438.033794162826,JUMBO
2400,441.075268817204,JUMBO
2500,443.440860215054,JUMBO
2600,446.482334869432,JUMBO
2700,448.847926267281,JUMBO
2800,450.537634408602,JUMBO
2900,452.565284178187,JUMBO
3000,454.930875576037,JUMBO
3100,456.282642089094,JUMBO
3200,457.296466973886,JUMBO
3300,458.310291858679,JUMBO
3400,459.324116743472,JUMBO
3500,460,JUMBO
3600,460,JUMBO
0,250.476190476191,SMAC
100,258.586789554531,SMAC
200,259.938556067588,SMAC
300,266.359447004608,SMAC
400,268.387096774194,SMAC
500,268.725038402458,SMAC
600,273.118279569892,SMAC
700,273.794162826421,SMAC
800,276.497695852535,SMAC
900,280.215053763441,SMAC
1000,288.663594470046,SMAC
1100,300.829493087558,SMAC
1200,301.84331797235,SMAC
1300,304.884792626728,SMAC
1400,308.940092165899,SMAC
1500,320.768049155146,SMAC
1600,329.554531490015,SMAC
1700,340.706605222734,SMAC
1800,346.451612903226,SMAC
1900,354.562211981567,SMAC
2000,358.617511520737,SMAC
2100,364.700460829493,SMAC
2200,371.797235023041,SMAC
2300,379.907834101382,SMAC
2400,384.976958525346,SMAC
2500,390.721966205837,SMAC
2600,396.804915514593,SMAC
2700,398.15668202765,SMAC
2800,400.184331797235,SMAC
2900,402.549923195085,SMAC
3000,406.605222734255,SMAC
3100,408.970814132104,SMAC
3200,412.350230414747,SMAC
3300,415.729646697389,SMAC
3400,421.136712749616,SMAC
3500,424.178187403994,SMAC
3600,424.178187403994,SMAC
0,248.110599078341,SMAC
100,251.827956989247,SMAC
200,257.910906298003,SMAC
300,258.586789554531,SMAC
400,258.924731182796,SMAC
500,270.752688172043,SMAC
600,285.622119815668,SMAC
700,298.125960061444,SMAC
800,300.153609831029,SMAC
900,300.153609831029,SMAC
1000,300.829493087558,SMAC
1100,303.533026113671,SMAC
1200,306.574500768049,SMAC
1300,309.953917050691,SMAC
1400,324.147465437788,SMAC
1500,332.258064516129,SMAC
1600,342.396313364055,SMAC
1700,346.113671274962,SMAC
1800,351.858678955453,SMAC
1900,358.955453149002,SMAC
2000,365.714285714286,SMAC
2100,378.218125960061,SMAC
2200,383.287250384025,SMAC
2300,389.37019969278,SMAC
2400,389.37019969278,SMAC
2500,392.073732718894,SMAC
2600,398.832565284178,SMAC
2700,403.563748079877,SMAC
2800,408.970814132104,SMAC
2900,412.012288786482,SMAC
3000,415.05376344086,SMAC
3100,417.757296466974,SMAC
3200,420.460829493088,SMAC
3300,424.854070660522,SMAC
3400,426.881720430108,SMAC
3500,431.274961597542,SMAC
3600,431.274961597542,SMAC
0,247.434715821813,Unicorn
100,257.235023041475,Unicorn
200,285.960061443932,Unicorn
300,303.870967741935,Unicorn
400,316.374807987711,Unicorn
500,328.878648233487,Unicorn
600,343.748079877112,Unicorn
700,359.63133640553,Unicorn
800,368.079877112135,Unicorn
900,372.135176651306,Unicorn
1000,372.135176651306,Unicorn
1100,372.811059907834,Unicorn
1200,373.149001536098,Unicorn
1300,373.149001536098,Unicorn
1400,373.149001536098,Unicorn
1500,373.824884792627,Unicorn
1600,373.149001536098,Unicorn
1700,373.149001536098,Unicorn
1800,374.162826420891,Unicorn
1900,374.162826420891,Unicorn
2000,375.514592933948,Unicorn
2100,375.514592933948,Unicorn
2200,375.852534562212,Unicorn
2300,376.866359447005,Unicorn
2400,376.866359447005,Unicorn
2500,378.556067588326,Unicorn
2600,380.245775729647,Unicorn
2700,380.583717357911,Unicorn
2800,381.597542242704,Unicorn
2900,382.611367127496,Unicorn
3000,383.963133640553,Unicorn
3100,385.990783410138,Unicorn
3200,387.680491551459,Unicorn
3300,389.708141321045,Unicorn
3400,393.087557603687,Unicorn
3500,395.453149001536,Unicorn
3600,395.453149001536,Unicorn
0,248.379416282642,Unicorn
100,253.179723502304,Unicorn
200,265.345622119816,Unicorn
300,285.960061443932,Unicorn
400,308.602150537634,Unicorn
500,331.244239631336,Unicorn
600,344.423963133641,Unicorn
700,353.548387096774,Unicorn
800,370.445468509985,Unicorn
900,385.652841781874,Unicorn
1000,387.342549923195,Unicorn
1100,390.046082949309,Unicorn
1200,391.059907834101,Unicorn
1300,391.397849462366,Unicorn
1400,392.749615975422,Unicorn
1500,392.411674347158,Unicorn
1600,392.749615975422,Unicorn
1700,393.087557603687,Unicorn
1800,394.101382488479,Unicorn
1900,394.439324116743,Unicorn
2000,394.439324116743,Unicorn
2100,395.7910906298,Unicorn
2200,396.466973886329,Unicorn
2300,397.142857142857,Unicorn
2400,398.15668202765,Unicorn
2500,398.15668202765,Unicorn
2600,399.508448540707,Unicorn
2700,400.184331797235,Unicorn
2800,400.522273425499,Unicorn
2900,402.549923195085,Unicorn
3000,402.887864823349,Unicorn
3100,403.563748079877,Unicorn
3200,404.915514592934,Unicorn
3300,405.591397849462,Unicorn
3400,406.605222734255,Unicorn
3500,407.281105990783,Unicorn
3600,410.274961597542,Unicorn
